   DEPTH        DT         GR         ILD       NPHI        RHOB
  3150.000    82.9586    80.0212     1.7710    21.1481     2.4390 
  3150.200    82.6264    78.5128     1.7218    21.4563     2.4508 
  3150.400    81.8371    78.1022     1.6652    21.3117     2.4513 
  3150.600    80.9201    78.5396     1.6454    20.6843     2.4417 
  3150.800    79.9264    78.5056     1.6952    19.5448     2.4382 
  3151.000    78.3912    79.0394     1.7801    17.9639     2.4520 
  3151.200    75.6162    81.5768     1.8248    16.5195     2.4704 
  3151.400    73.9400    83.0674     1.8148    15.5891     2.4912 
  3151.600    76.1093    80.3545     1.7802    15.3988     2.4909 
  3151.800    80.5137    76.6035     1.7422    16.3316     2.4584 
  3152.000    83.1885    77.3562     1.7177    18.5290     2.4357 
  3152.200    83.4066    81.1616     1.6863    21.5622     2.4354 
  3152.400    82.1016    85.1989     1.6323    24.1842     2.4331 
  3152.600    80.8847    88.0074     1.5949    24.8876     2.4149 
  3152.800    80.8923    89.0422     1.5852    24.5581     2.4030 
  3153.000    82.1105    88.5741     1.5883    23.9389     2.3956 
  3153.200    83.1980    88.6444     1.5858    23.0483     2.3871 
  3153.400    83.5163    90.4410     1.5704    22.2941     2.3911 
  3153.600    83.4779    92.5360     1.5526    21.7848     2.4095 
  3153.800    83.2013    92.7377     1.5424    21.5942     2.4312 
  3154.000    82.7703    92.0750     1.5422    21.7974     2.4499 
  3154.200    82.3390    92.9305     1.5575    22.1202     2.4437 
  3154.400    82.1160    95.3712     1.5910    22.0741     2.4295 
  3154.600    82.7636    96.8373     1.6097    22.0933     2.4340 
  3154.800    84.4264    96.5507     1.6089    22.9554     2.4549 
  3155.000    86.6099    95.8129     1.6070    24.3802     2.4672 
  3155.200    88.1442    96.1623     1.6127    25.2774     2.4617 
  3155.400    88.1639    97.1805     1.6283    24.4808     2.4699 
  3155.600    86.4522    96.9475     1.6643    22.3860     2.4773 
  3155.800    83.9291    95.3150     1.7031    20.7278     2.4480 
  3156.000    81.9335    94.1834     1.7462    20.0253     2.4373 
  3156.200    81.0562    92.6171     1.7929    19.9433     2.4493 
  3156.400    81.2531    89.4861     1.8368    20.1858     2.4671 
  3156.600    81.7033    87.5434     1.8801    20.2401     2.4932 
  3156.800    81.9550    87.5532     1.9114    20.2609     2.4975 
  3157.000    82.1176    87.8320     1.9103    20.5865     2.4882 
  3157.200    82.2701    88.0287     1.8993    20.9413     2.5021 
  3157.400    81.9497    87.7261     1.9111    21.0219     2.5283 
  3157.600    81.3346    85.8889     1.9330    20.7475     2.5385 
  3157.800    80.9334    82.3692     1.9385    20.5669     2.5300 
  3158.000    80.9377    78.4032     1.9403    20.7149     2.5163 
  3158.200    81.1364    75.2644     1.9538    21.1219     2.5048 
  3158.400    81.3375    74.4737     1.9784    23.1210     2.4780 
  3158.600    83.3526    75.7372     2.0121    26.3243     2.4337 
  3158.800    86.8515    79.5082     2.0606    27.4465     2.4193 
  3159.000    85.2890    88.2666     2.1222    23.9277     2.4618 
  3159.200    79.7489    99.2688     2.1814    20.0422     2.4908 
  3159.400    78.2323   104.9423     2.2141    18.6855     2.4972 
  3159.600    79.9746    92.9967     2.2464    18.9318     2.5027 
  3159.800    80.7313    74.4849     2.2931    18.9998     2.5012 
  3160.000    81.3582    67.0156     2.3550    18.4625     2.4929 
  3160.200    80.5066    64.4546     2.3987    18.2433     2.4907 
  3160.400    79.2767    61.9571     2.4001    19.0890     2.4918 
  3160.600    80.1208    57.9191     2.3222    20.2994     2.4945 
  3160.800    82.6534    53.8652     2.2054    21.1891     2.4979 
  3161.000    83.6294    53.6533     2.1316    21.3935     2.4988 
  3161.200    82.1280    55.2743     2.0918    20.7718     2.5033 
  3161.400    79.2437    55.8344     2.0717    19.5677     2.5079 
  3161.600    77.8545    53.9054     2.0674    18.4126     2.5037 
  3161.800    78.2385    49.1751     2.0674    17.7690     2.4961 
  3162.000    78.2208    43.6039     2.0780    17.4901     2.5035 
  3162.200    74.7823    42.3136     2.1367    16.4299     2.5299 
  3162.400    69.9468    42.5341     2.2717    14.2016     2.5581 
  3162.600    66.8833    40.4258     2.4651    12.1236     2.5787 
  3162.800    66.8397    35.4087     2.5866    12.2056     2.5797 
  3163.000    68.5295    30.2722     2.5901    13.9967     2.5667 
  3163.200    71.9256    27.9817     2.5355    16.3701     2.5482 
  3163.400    76.5294    30.4960     2.4751    18.0287     2.5357 
  3163.600    79.0935    37.1074     2.4132    18.2869     2.5300 
  3163.800    78.9869    45.3413     2.3353    17.4006     2.5399 
  3164.000    78.6319    50.5718     2.2347    16.6575     2.5456 
  3164.200    79.0762    51.0678     2.1447    16.7589     2.5210 
  3164.400    79.1157    49.6145     2.1119    16.3543     2.5014 
  3164.600    77.4523    47.4958     2.1910    15.1966     2.5017 
  3164.800    74.4715    44.0723     2.3207    15.2467     2.5081 
  3165.000    72.7607    39.6287     2.4115    16.7211     2.5052 
  3165.200    72.8765    36.8849     2.4980    17.7407     2.5023 
  3165.400    73.5595    38.3704     2.5426    16.9080     2.5058 
  3165.600    74.0865    41.6913     2.5162    16.9859     2.5078 
  3165.800    75.4222    44.2649     2.4368    18.7918     2.5144 
  3166.000    78.9238    45.8126     2.3205    19.4140     2.5253 
  3166.200    81.7814    48.4388     2.2008    19.1778     2.5303 
  3166.400    82.1807    51.3557     2.0948    18.9757     2.5254 
  3166.600    81.9629    52.2733     2.0119    18.4259     2.5183 
  3166.800    82.0869    52.4905     1.9743    18.0834     2.5036 
  3167.000    82.0641    51.9791     1.9892    18.5650     2.4946 
  3167.200    81.2567    50.2063     2.0364    19.4942     2.4929 
  3167.400    79.6636    48.3845     2.0925    20.1310     2.4965 
  3167.600    78.4678    47.1117     2.1384    20.1945     2.5058 
  3167.800    78.6577    46.4471     2.1665    19.7862     2.5210 
  3168.000    80.0231    46.7655     2.1907    19.1015     2.5346 
  3168.200    81.2421    46.7907     2.1998    18.4626     2.5318 
  3168.400    81.7209    46.2198     2.1842    18.1237     2.5145 
  3168.600    81.2305    45.9287     2.1596    18.1516     2.5038 
  3168.800    80.3417    46.2055     2.1466    18.4277     2.5180 
  3169.000    79.3440    47.2033     2.1496    18.7852     2.5314 
  3169.200    78.4010    48.1790     2.1702    18.8376     2.5224 
  3169.400    78.1126    48.2117     2.1965    18.5542     2.5135 
  3169.600    78.3340    47.7213     2.2186    18.0405     2.5091 
  3169.800    78.8139    47.3422     2.2336    17.5810     2.5154 
  3170.000    79.2185    46.2371     2.2539    17.8729     2.5168 
  3170.200    78.8149    45.7233     2.2656    18.6042     2.4850 
  3170.400    78.0213    46.0395     2.2733    19.2090     2.4525 
  3170.600    77.9321    45.3313     2.2846    19.8632     2.4509 
  3170.800    78.2500    44.8960     2.2915    20.6346     2.4622 
  3171.000    78.1822    46.2039     2.2975    21.2269     2.4657 
  3171.200    78.0679    46.7117     2.2906    21.4304     2.4643 
  3171.400    78.8596    46.2538     2.2912    21.9204     2.4601 
  3171.600    80.5403    47.7611     2.3203    23.1888     2.4484 
  3171.800    82.7200    52.2699     2.3605    24.3537     2.4359 
  3172.000    85.1790    57.1511     2.3606    23.8471     2.4395 
  3172.200    85.9836    62.0475     2.3464    21.7071     2.4544 
  3172.400    83.1661    66.1163     2.3338    20.0718     2.4695 
  3172.600    79.9704    64.6042     2.3298    19.6637     2.4760 
  3172.800    78.7509    56.7527     2.3110    19.6752     2.4710 
  3173.000    79.3394    49.7934     2.2155    20.2859     2.4641 
  3173.200    81.1227    48.1703     2.1004    21.7206     2.4666 
  3173.400    82.7810    49.4096     2.0516    22.4954     2.4778 
  3173.600    82.9732    51.7015     2.0485    21.2915     2.4739 
  3173.800    81.5208    52.9448     2.0485    19.1878     2.4647 
  3174.000    79.6011    51.8111     2.0449    17.7114     2.4769 
  3174.200    79.0685    48.9344     2.0286    17.3560     2.4908 
  3174.400    79.9153    46.8976     2.0177    17.8920     2.4855 
  3174.600    80.8246    46.3880     2.0337    18.7157     2.4750 
  3174.800    81.1993    46.7661     2.0533    19.3516     2.4610 
  3175.000    81.0910    48.4149     2.0564    19.2569     2.4419 
  3175.200    80.6831    50.3586     2.0501    18.7720     2.4285 
  3175.400    79.8816    50.7330     2.0485    18.4716     2.4322 
  3175.600    79.2231    48.3665     2.0570    18.6731     2.4435 
  3175.800    79.4244    46.2952     2.0786    19.2201     2.4438 
  3176.000    79.8822    46.5200     2.1082    19.7739     2.4381 
  3176.200    79.7103    48.2927     2.1441    19.7838     2.4346 
  3176.400    79.2444    50.7905     2.1649    19.3762     2.4372 
  3176.600    78.8398    53.0416     2.1822    19.2495     2.4512 
  3176.800    79.8921    55.4251     2.2078    19.8378     2.4541 
  3177.000    82.3698    61.7786     2.2370    20.9806     2.4385 
  3177.200    84.6115    72.9056     2.2791    22.3702     2.4331 
  3177.400    85.7071    81.6874     2.3399    23.4543     2.4331 
  3177.600    85.7892    83.2099     2.4094    23.4361     2.4295 
  3177.800    85.3154    81.4538     2.4635    22.7193     2.4282 
  3178.000    84.0393    79.3362     2.4668    21.8934     2.4312 
  3178.200    82.2639    77.9531     2.3852    20.8381     2.4433 
  3178.400    81.9498    74.2838     2.2733    19.9959     2.4562 
  3178.600    84.0537    66.0083     2.1593    20.3585     2.4595 
  3178.800    85.8668    56.7444     2.0529    21.5308     2.4564 
  3179.000    85.7354    51.8172     1.9257    22.7770     2.4584 
  3179.200    84.4837    50.0266     1.8212    23.9516     2.4558 
  3179.400    83.4988    49.5555     1.7937    24.2937     2.4506 
  3179.600    82.9893    49.2651     1.8034    23.5137     2.4541 
  3179.800    82.8819    47.8754     1.8233    22.3443     2.4461 
  3180.000    82.9980    45.4778     1.8345    21.6740     2.4368 
  3180.200    82.9248    42.9014     1.8326    21.8774     2.4417 
  3180.400    82.7184    40.4988     1.8207    22.5100     2.4351 
  3180.600    82.9861    39.0086     1.7998    22.7247     2.4219 
  3180.800    83.7054    39.1012     1.7798    22.8805     2.4142 
  3181.000    84.0791    39.5946     1.7695    23.3602     2.4048 
  3181.200    83.9743    39.9161     1.7640    23.3993     2.4073 
  3181.400    83.6968    40.1733     1.7403    23.0538     2.4306 
  3181.600    83.5549    39.9697     1.7141    22.8057     2.4419 
  3181.800    83.4131    40.4866     1.7046    22.4385     2.4370 
  3182.000    83.2767    41.9605     1.7055    21.7462     2.4438 
  3182.200    83.3939    42.6165     1.7129    20.9901     2.4638 
  3182.400    83.5495    43.6677     1.7233    20.5074     2.4509 
  3182.600    83.3301    46.2401     1.7329    20.6474     2.4305 
  3182.800    83.0126    47.9618     1.7340    21.2638     2.4405 
  3183.000    83.1260    48.4362     1.7255    21.8210     2.4502 
  3183.200    83.9097    48.7989     1.7085    22.1465     2.4613 
  3183.400    85.2652    49.0192     1.6646    22.5835     2.4744 
  3183.600    86.6266    49.0508     1.5945    23.3879     2.4906 
  3183.800    87.5064    50.0304     1.5167    24.7402     2.4803 
  3184.000    88.1606    51.8560     1.4716    25.9719     2.4427 
  3184.200    88.5234    53.2115     1.4612    25.7902     2.4356 
  3184.400    88.3903    53.9686     1.4715    24.4470     2.4476 
  3184.600    87.9841    55.5179     1.4928    23.5081     2.4414 
  3184.800    87.2617    57.1301     1.5409    23.2436     2.4469 
  3185.000    86.2227    57.7687     1.6252    22.8345     2.4633 
  3185.200    84.8911    58.1768     1.7338    22.5457     2.4569 
  3185.400    83.5418    57.5147     1.8508    22.1747     2.4419 
  3185.600    82.2864    55.0533     1.9328    21.6605     2.4324 
  3185.800    81.5147    53.0585     1.9951    21.8860     2.4333 
  3186.000    81.9225    54.2372     2.0587    22.6507     2.4265 
  3186.200    83.4224    57.5094     2.0848    23.1515     2.4243 
  3186.400    84.8990    59.9172     2.0865    22.5747     2.4642 
  3186.600    85.3206    60.6173     2.0843    21.3234     2.4903 
  3186.800    84.8513    60.8601     2.0708    20.7488     2.4739 
  3187.000    83.4248    59.8588     2.0411    20.7683     2.4540 
  3187.200    81.9579    56.4217     1.9892    21.0188     2.4565 
  3187.400    81.6607    53.7308     1.9331    22.3060     2.4625 
  3187.600    84.2356    56.0593     1.8990    24.7883     2.4525 
  3187.800    90.4908    67.7341     1.9148    27.9131     2.4264 
  3188.000    95.3132    80.4656     1.9353    31.3089     2.3947 
  3188.200    97.7811    92.7663     1.9343    33.1018     2.3763 
  3188.400    96.9919   101.7072     1.9308    31.2983     2.4037 
  3188.600    93.4244   101.0521     1.9366    28.4909     2.4311 
  3188.800    90.4837    90.9725     1.9385    26.7487     2.4404 
  3189.000    91.0561    79.4287     1.9520    26.3574     2.4370 
  3189.200    92.9278    74.3483     1.9937    26.5588     2.4042 
  3189.400    93.2120    76.4886     2.0996    26.7721     2.3804 
  3189.600    91.0412    85.1713     2.3214    26.1599     2.3906 
  3189.800    87.3664    95.0160     2.7136    24.4142     2.4039 
  3190.000    84.4392    99.8581     3.1946    23.4510     2.4064 
  3190.200    85.5800   100.3565     3.4045    24.2535     2.3883 
  3190.400    89.2015   100.0027     3.2112    25.0533     2.3878 
  3190.600    90.4196    99.8470     2.9378    25.0584     2.4146 
  3190.800    89.5550    96.0788     2.6766    24.6573     2.4333 
  3191.000    89.1939    83.5861     2.4473    24.7406     2.4305 
  3191.200    88.9305    72.0520     2.2395    25.6322     2.4257 
  3191.400    88.3371    68.9128     2.0833    26.7704     2.4252 
  3191.600    87.5963    71.5062     2.1286    26.9433     2.4188 
  3191.800    87.3487    74.3123     2.4044    26.4636     2.4054 
  3192.000    87.1074    79.1478     2.7666    25.2636     2.4069 
  3192.200    85.7654    88.3924     3.0025    23.2232     2.4301 
  3192.400    85.3209    98.7606     3.0387    22.1581     2.4452 
  3192.600    86.7882   103.7383     2.9050    22.9994     2.4397 
  3192.800    88.6472    98.4051     2.7061    24.4973     2.4263 
  3193.000    89.4644    85.5313     2.5056    25.2097     2.4176 
  3193.200    89.6147    73.3753     2.2876    25.3961     2.4196 
  3193.400    89.5869    68.4759     2.0339    25.3196     2.4306 
  3193.600    89.3827    69.3450     1.8781    25.2020     2.4391 
  3193.800    89.4044    70.6080     1.8891    25.2622     2.4421 
  3194.000    90.4247    71.6379     1.9661    25.8464     2.4344 
  3194.200    91.7079    75.4914     2.0217    26.7728     2.4129 
  3194.400    90.5578    82.6161     2.0648    26.5683     2.4084 
  3194.600    87.9206    88.2812     2.1134    25.8197     2.4188 
  3194.800    87.8205    86.8775     2.1167    25.9277     2.4179 
  3195.000    89.7592    84.9235     2.0646    26.7394     2.4000 
  3195.200    91.7322    86.8344     2.0032    27.5287     2.3762 
  3195.400    92.6697    88.3338     1.9523    27.5615     2.3692 
  3195.600    91.7527    86.1736     1.9433    27.3993     2.3718 
  3195.800    90.8872    82.6909     2.0048    27.6144     2.3699 
  3196.000    91.6917    80.6754     2.1376    28.1068     2.3658 
  3196.200    92.4675    81.9160     2.3962    28.4732     2.3679 
  3196.400    90.6765    85.3200     2.9129    28.7174     2.3665 
  3196.600    86.4822    88.3515     3.8821    28.7073     2.3599 
  3196.800    82.7864    88.1455     5.2263    27.4035     2.3635 
  3197.000    80.2459    86.6202     6.6219    24.6222     2.3773 
  3197.200    78.7563    85.3307     8.0270    21.5201     2.3899 
  3197.400    78.7103    84.7334     9.1787    19.7845     2.3925 
  3197.600    80.3224    85.9574     9.1823    19.7579     2.3846 
  3197.800    83.6587    87.5272     7.4279    21.2182     2.3692 
  3198.000    87.5429    88.0639     4.7964    23.5893     2.3466 
  3198.200    89.7516    85.9644     3.1188    25.3259     2.3359 
  3198.400    89.8026    79.6007     2.4359    25.2490     2.3499 
  3198.600    88.9051    70.2267     2.2194    24.4727     2.3816 
  3198.800    88.4608    66.5092     2.1999    25.1072     2.4047 
  3199.000    88.5569    71.6505     2.2701    25.6632     2.3969 
  3199.200    87.7075    80.5990     2.5505    24.5012     2.3794 
  3199.400    86.0174    87.8769     3.2815    22.8250     2.3673 
  3199.600    85.0290    91.7339     4.5673    21.8973     2.3520 
  3199.800    85.4201    91.9453     6.2729    21.8591     2.3456 
  3200.000    86.1947    92.0045     6.9764    22.1100     2.3579 
  3200.200    86.1212    92.5067     5.8905    22.0931     2.3798 
  3200.400    86.0335    90.1928     4.6655    22.1932     2.3930 
  3200.600    86.5164    85.9267     4.2721    22.2893     2.3969 
  3200.800    85.3609    82.7773     3.9339    21.7096     2.4005 
  3201.000    83.2246    79.4142     3.3455    21.6595     2.3970 
  3201.200    83.0351    76.8834     2.6982    23.5239     2.3821 
  3201.400    85.5072    77.6214     2.2796    24.7025     2.3795 
  3201.600    89.7290    78.2104     2.0697    23.6821     2.3905 
  3201.800    88.1423    76.4469     1.9887    19.0149     2.4060 
  3202.000    73.5688    73.7687     1.9633     9.6410     2.4666 
  3202.200    57.8414    66.1453     1.9314     1.9687     2.5479 
  3202.400    52.6248    54.3768     1.8717     0.6355     2.5758 
  3202.600    52.5322    47.5408     1.8089     3.1655     2.5435 
  3202.800    57.1528    45.5683     1.7359     8.0280     2.4998 
  3203.000    68.9977    45.6738     1.6511    14.0908     2.4448 
  3203.200    76.3530    49.4986     1.5805    18.6886     2.3936 
  3203.400    78.0605    55.5663     1.5901    20.9434     2.3920 
  3203.600    79.6806    61.0663     1.7065    22.2518     2.4028 
  3203.800    80.1246    64.0739     1.8804    24.2493     2.3778 
  3204.000    79.2538    65.3838     2.0710    23.9744     2.3729 
  3204.200    77.8235    64.6996     2.2905    21.3818     2.3961 
  3204.400    77.2962    62.0570     2.5565    21.1571     2.4083 
  3204.600    78.5340    60.2478     2.8009    22.0901     2.4059 
  3204.800    80.8543    60.1463     2.9724    22.6786     2.3921 
  3205.000    82.7329    62.0605     3.0430    22.5297     2.3679 
  3205.200    83.5047    65.0879     3.0350    22.7187     2.3536 
  3205.400    85.3344    67.7170     2.9821    23.4934     2.3397 
  3205.600    86.3138    70.0372     2.9245    23.2980     2.3378 
  3205.800    84.5560    72.9279     2.9244    22.4489     2.3446 
  3206.000    84.5635    74.4681     2.8976    22.7897     2.3443 
  3206.200    86.7836    72.3620     2.7930    24.0424     2.3427 
  3206.400    85.8119    68.1325     2.8001    24.3855     2.3560 
  3206.600    82.8957    66.8686     2.9755    23.4707     2.3796 
  3206.800    80.0857    68.6382     3.2389    21.6904     2.3909 
  3207.000    75.9690    68.8164     3.4366    19.1261     2.3963 
  3207.200    75.1938    66.9355     3.6615    16.5508     2.4204 
  3207.400    79.3163    63.8073     3.8547    14.9835     2.4525 
  3207.600    84.6180    60.9460     3.9809    15.5638     2.4681 
  3207.800    87.6554    61.6933     4.0645    18.1184     2.4592 
  3208.000    89.6779    66.4223     3.9530    21.3045     2.4312 
  3208.200    91.1750    71.8234     3.7705    23.7661     2.4087 
  3208.400    92.0944    74.3305     3.5074    25.5859     2.3952 
  3208.600    92.6058    74.7930     3.2084    26.9436     2.3879 
  3208.800    92.5963    74.5172     2.9911    27.7507     2.3858 
  3209.000    91.9549    73.3352     2.8977    28.2330     2.3856 
  3209.200    91.4023    71.9016     2.8494    28.4092     2.3857 
  3209.400    91.1377    71.0797     2.8063    28.1633     2.3776 
  3209.600    91.1770    70.4272     2.8001    27.8207     2.3562 
  3209.800    91.6008    70.6715     2.8045    27.3878     2.3388 
  3210.000    92.2796    72.5754     2.8325    26.8965     2.3485 
  3210.200    91.2032    75.2037     2.9415    27.2530     2.3518 
  3210.400    88.0737    79.0564     3.0916    28.1626     2.3519 
  3210.600    81.7497    84.9883     3.2372    27.6845     2.3446 
  3210.800    74.8103    88.8976     3.5084    25.1415     2.3457 
  3211.000    73.2653    85.4694     3.9737    22.1984     2.3664 
  3211.200    78.2218    75.3184     4.2557    18.6227     2.3729 
  3211.400    84.9674    63.7994     4.3064    15.1247     2.3779 
  3211.600    86.6528    56.7584     4.4138    15.1680     2.3860 
  3211.800    82.1078    56.3372     4.5576    18.5740     2.3807 
  3212.000    75.8739    61.4398     4.8393    22.4949     2.3843 
  3212.200    75.6504    65.9967     4.9453    22.9216     2.4098 
  3212.400    81.0968    64.8923     4.2048    19.6315     2.4329 
  3212.600    88.1811    60.4192     3.0050    17.8324     2.4115 
  3212.800    93.0656    58.9438     2.1362    21.6655     2.2848 
  3213.000    95.4176    60.7764     1.5199    24.9884     2.1596 
  3213.200    95.9815    62.6759     1.0378    25.0930     2.1208 
  3213.400    95.6468    60.3437     0.7670    24.5791     2.1326 
  3213.600    95.6005    55.0018     0.5961    24.6798     2.1413 
  3213.800    95.8442    52.1080     0.4613    25.1220     2.1487 
  3214.000    95.9150    53.5460     0.3670    25.5134     2.1497 
  3214.200    96.0028    54.7699     0.3190    25.5550     2.1467 
  3214.400    96.2424    54.0574     0.2993    25.3789     2.1459 
  3214.600    96.4464    52.3283     0.2930    25.3270     2.1477 
  3214.800    96.7341    50.6071     0.2937    25.5751     2.1488 
  3215.000    97.3256    49.8288     0.3001    26.2452     2.1419 
  3215.200    97.8779    49.6467     0.3145    27.2622     2.1325 
  3215.400    98.2842    49.6632     0.3351    27.8201     2.1288 
  3215.600    98.7264    49.7993     0.3577    27.6384     2.1299 
  3215.800    99.1485    49.5478     0.3871    26.6998     2.1264 
  3216.000    99.5584    49.9138     0.4257    25.6067     2.1322 
  3216.200    99.5727    50.7335     0.4781    25.4844     2.1635 
  3216.400    96.6933    50.4443     0.5695    26.0796     2.2165 
  3216.600    88.1306    48.2203     0.7291    25.7075     2.3114 
  3216.800    79.6575    45.4103     1.0449    23.5914     2.4026 
  3217.000    76.1401    44.3235     1.4694    20.9485     2.4238 
  3217.200    79.9336    50.5044     1.7091    21.4926     2.3660 
  3217.400    87.1673    63.7945     1.5630    26.7758     2.2622 
  3217.600    94.4621    78.8867     1.1584    34.1950     2.1568 
  3217.800    98.9346    88.8190     0.7922    37.7302     2.1050 
  3218.000    99.7985    85.7211     0.6049    35.4404     2.1108 
  3218.200    98.6779    70.8071     0.5022    31.3188     2.1282 
  3218.400    97.3127    58.1182     0.4203    28.5573     2.1447 
  3218.600    96.1848    54.7544     0.3716    27.2580     2.1692 
  3218.800    95.2332    53.2777     0.3676    26.1594     2.1895 
  3219.000    94.1791    52.6870     0.3921    25.1808     2.2054 
  3219.200    92.2961    54.6209     0.4229    24.7818     2.2145 
  3219.400    89.8360    58.0532     0.4590    24.8781     2.2279 
  3219.600    87.8406    61.6832     0.5055    25.5676     2.2479 
  3219.800    85.9837    64.5196     0.5560    26.1501     2.2624 
  3220.000    82.3529    64.0316     0.6087    24.7173     2.2765 
  3220.200    77.8860    58.5601     0.6631    21.3304     2.2920 
  3220.400    74.8878    54.1462     0.7146    18.2333     2.3040 
  3220.600    74.0890    54.8349     0.7650    17.3686     2.3108 
  3220.800    76.4814    57.5052     0.8225    18.7611     2.3201 
  3221.000    81.8679    60.4552     0.8931    21.2654     2.3573 
  3221.200    86.0782    65.6057     0.9655    23.1941     2.4008 
  3221.400    88.0329    71.9705     1.0746    23.4979     2.4201 
  3221.600    87.9851    74.8151     1.2949    23.1250     2.4368 
  3221.800    85.6234    72.8823     1.6730    22.9783     2.4593 
  3222.000    80.1465    70.0408     2.0428    20.5071     2.4838 
  3222.200    72.2014    65.3367     2.3073    15.8034     2.5201 
  3222.400    67.7574    58.7434     2.4710    14.0337     2.5299 
  3222.600    68.5884    55.8344     2.5566    14.7810     2.5067 
  3222.800    73.1220    57.5474     2.5722    16.0496     2.4841 
  3223.000    77.4422    62.2920     2.5044    17.5485     2.4716 
  3223.200    81.1974    69.3738     2.4374    19.1227     2.4626 
  3223.400    84.5630    75.6844     2.3152    20.6985     2.4556 
  3223.600    84.6462    77.7401     2.0846    22.2169     2.4308 
  3223.800    83.5269    77.4115     1.8355    22.9851     2.3881 
  3224.000    84.3553    76.2730     1.6257    22.7806     2.3418 
  3224.200    86.3481    74.4940     1.4739    23.7310     2.2923 
  3224.400    86.8289    71.7144     1.3561    26.1569     2.2566 
  3224.600    86.7279    66.9219     1.2796    26.6339     2.2552 
  3224.800    85.7921    61.1224     1.2720    24.6434     2.3033 
  3225.000    83.1695    57.4025     1.3523    21.0838     2.3851 
  3225.200    79.7611    56.5283     1.5346    17.5176     2.4522 
  3225.400    76.6319    58.0809     1.8790    16.0500     2.4864 
  3225.600    76.0766    61.2956     2.2078    17.9978     2.4916 
  3225.800    77.4871    65.6532     2.3520    20.9265     2.4865 
  3226.000    79.5194    70.6051     2.4054    22.8155     2.4791 
  3226.200    80.5656    73.7448     2.4029    23.3678     2.4805 
  3226.400    79.6041    73.3492     2.4119    22.9764     2.4919 
  3226.600    76.6426    70.5914     2.4588    21.6079     2.5001 
  3226.800    72.9751    67.3408     2.3891    19.2757     2.5082 
  3227.000    72.8089    64.2653     2.1519    16.9958     2.5198 
  3227.200    78.8066    64.7532     1.8575    17.2812     2.5080 
  3227.400    84.7226    70.1567     1.5988    20.6917     2.4725 
  3227.600    85.1808    74.5161     1.4097    22.2848     2.4148 
  3227.800    82.2610    73.3831     1.3009    20.1846     2.3685 
  3228.000    75.4337    65.9728     1.2491    16.3802     2.3863 
  3228.200    68.9716    57.3694     1.2034    12.6963     2.4469 
  3228.400    66.9336    55.1516     1.1698    10.4373     2.4685 
  3228.600    70.8201    59.4975     1.1162    11.8203     2.4110 
  3228.800    80.5539    66.5810     0.9608    17.4688     2.3370 
  3229.000    88.0101    72.6681     0.7740    23.6778     2.2808 
  3229.200    91.2716    74.8740     0.6592    27.6578     2.2408 
  3229.400    92.5198    71.4622     0.6167    28.5183     2.2182 
  3229.600    91.9882    65.0038     0.6071    28.1324     2.2006 
  3229.800    88.8352    58.2783     0.6284    26.8700     2.2077 
  3230.000    84.2930    55.8747     0.6616    24.9034     2.2478 
  3230.200    81.3469    58.9095     0.7033    23.9347     2.2780 
  3230.400    80.6634    64.3024     0.7647    24.7129     2.2566 
  3230.600    81.8500    65.2855     0.8367    25.8749     2.2205 
