   DEPTH	DT	   GR	      ILD	NPHI	    RHOB
  2975.000    91.2695    66.4531     1.8425    21.7996     2.4617 
  2975.200    90.9399    68.4648     1.7627    21.8086     2.4266 
  2975.400    90.3281    69.0938     1.7114    23.1367     2.4270 
  2975.600    87.7031    67.7969     1.6621    24.6211     2.4411 
  2975.800    85.2031    67.1992     1.5940    25.5234     2.4502 
  2976.000    86.5234    67.9570     1.5305    26.3086     2.4579 
  2976.200    91.1875    69.0273     1.4912    26.2773     2.4529 
  2976.400    94.4570    69.8750     1.4514    25.7148     2.4197 
  2976.600    95.6133    70.5117     1.4237    25.1562     2.3845 
  2976.800    97.0078    70.3398     1.4192    24.8650     2.3754 
  2977.000    97.0391    68.6406     1.4285    25.0002     2.3744 
  2977.200    96.2578    66.5039     1.4381    25.1091     2.3668 
  2977.400    96.0483    65.2070     1.4400    25.0427     2.3782 
  2977.600    95.9258    64.8555     1.4288    25.1250     2.3969 
  2977.800    95.5117    65.7578     1.4145    25.5703     2.4038 
  2978.000    94.9570    67.1523     1.3992    26.3633     2.4061 
  2978.200    94.6917    67.2812     1.3757    27.6094     2.4109 
  2978.400    95.4727    67.2734     1.3442    29.0703     2.4249 
  2978.600    96.2383    68.2148     1.3255    30.1758     2.4276 
  2978.800    96.0000    68.6182     1.3254    29.9648     2.4191 
  2979.000    95.7627    67.6289     1.3413    29.0312     2.4175 
  2979.200    95.5586    66.2852     1.3613    28.1367     2.4191 
  2979.400    94.7070    65.6917     1.3843    27.3672     2.4082 
  2979.600    93.2070    67.1250     1.4067    26.7188     2.3954 
  2979.800    91.6094    69.2109     1.4260    25.9062     2.3911 
  2980.000    90.9714    69.6980     1.4395    25.4453     2.3838 
  2980.200    91.7891    68.6953     1.4417    25.2070     2.3697 
  2980.400    93.2969    68.3633     1.4377    24.7852     2.3601 
  2980.600    94.2695    69.5117     1.4322    24.4294     2.3627 
  2980.800    93.5586    71.3320     1.4202    24.5664     2.3823 
  2981.000    90.8242    71.5625     1.4004    25.2773     2.4150 
  2981.200    89.1602    69.8398     1.3730    26.5938     2.4492 
  2981.400    89.6992    67.5664     1.3430    28.1641     2.4603 
  2981.600    91.7422    67.5352     1.3187    27.9375     2.4532 
  2981.800    93.3359    68.9844     1.3159    27.6246     2.4594 
  2982.000    93.6755    69.3940     1.3396    27.5903     2.4453 
  2982.200    92.4922    67.6875     1.3772    27.2739     2.4092 
  2982.400    90.9141    65.8086     1.4182    27.2153     2.3925 
  2982.600    92.2969    65.3436     1.4651    27.4517     2.3862 
  2982.800    95.3398    66.8984     1.5166    26.6641     2.3704 
  2983.000    96.0156    69.3320     1.5652    24.8867     2.3619 
  2983.200    95.2422    70.0637     1.5905    23.6836     2.3680 
  2983.400    95.3867    68.7930     1.5920    24.0391     2.3726 
  2983.600    95.7974    68.4766     1.5802    24.9961     2.3749 
  2983.800    94.7383    69.1289     1.5661    25.1377     2.3854 
  2984.000    93.0791    69.0903     1.5665    24.9438     2.3992 
  2984.200    93.3320    69.4102     1.5792    25.5117     2.4016 
  2984.400    94.0469    70.1055     1.5920    27.0312     2.3979 
  2984.600    94.3330    69.9414     1.6051    28.2500     2.3912 
  2984.800    94.7227    70.5352     1.6142    28.4355     2.3879 
  2985.000    95.6133    71.3906     1.6209    28.2378     2.3848 
  2985.200    96.1562    71.0039     1.6252    28.3191     2.3841 
  2985.400    95.3398    71.0312     1.6266    28.6438     2.3743 
  2985.600    94.6147    71.8945     1.6378    28.4844     2.3581 
  2985.800    94.6958    71.6797     1.6648    28.2651     2.3541 
  2986.000    94.6328    70.5291     1.7151    29.0000     2.3577 
  2986.200    93.6875    71.3633     1.7717    29.6372     2.3650 
  2986.400    92.1836    75.0234     1.8301    28.8516     2.3789 
  2986.600    92.3906    79.1367     1.8816    26.7188     2.3955 
  2986.800    94.7188    81.2852     1.9092    23.8398     2.4046 
  2987.000    95.0195    79.5273     1.9307    22.8628     2.4052 
  2987.200    92.0000    73.5625     1.9807    23.6992     2.3997 
  2987.400    87.7812    67.1875     2.0674    24.3474     2.3898 
  2987.600    84.9766    61.1250     2.1431    24.4294     2.3837 
  2987.800    85.2969    55.6250     2.2058    24.3918     2.3857 
  2988.000    88.8008    53.5664     2.2298    24.6562     2.3884 
  2988.200    91.9648    55.1562     2.2207    25.1523     2.3910 
  2988.400    92.7891    59.9375     2.1973    25.8516     2.3948 
  2988.600    90.5039    65.1406     2.1580    26.7539     2.3782 
  2988.800    88.5039    67.4922     2.0889    27.6016     2.3530 
  2989.000    89.3047    69.2109     2.0015    28.0608     2.3497 
  2989.200    91.8906    70.9062     1.9377    27.0469     2.3735 
  2989.400    91.7930    71.0664     1.9165    25.2891     2.3943 
  2989.600    89.0820    70.9739     1.9309    24.4805     2.3968 
  2989.800    86.6016    72.3516     1.9468    24.3645     2.3875 
  2990.000    85.5479    73.9609     1.9060    24.0273     2.3848 
  2990.200    87.1133    74.1328     1.8240    23.1758     2.4001 
  2990.400    91.2227    73.0195     1.7695    22.3479     2.4197 
  2990.600    93.1602    70.2773     1.7468    22.3672     2.4128 
  2990.800    91.6758    66.4023     1.7168    23.5742     2.4133 
  2991.000    90.1133    63.9492     1.6807    25.7695     2.4365 
  2991.200    88.5117    63.8945     1.6568    27.7695     2.4473 
  2991.400    84.5625    66.4492     1.6631    28.3733     2.4351 
  2991.600    81.0938    70.6250     1.7090    27.6562     2.4184 
  2991.800    80.4492    70.7539     1.7976    27.6836     2.4113 
  2992.000    81.6094    68.9219     1.8750    28.4414     2.4144 
  2992.200    84.3984    70.9258     1.9035    28.3906     2.4448 
  2992.400    88.5000    78.4375     1.8870    26.4102     2.4880 
  2992.600    92.9297    81.2773     1.8586    22.7617     2.4968 
  2992.800    95.8672    78.0000     1.8181    20.0195     2.4690 
  2993.000    94.4375    72.4375     1.7581    20.3750     2.4265 
  2993.200    88.5625    67.6211     1.6814    22.4922     2.4238 
  2993.400    85.0664    64.8320     1.6038    24.9375     2.4578 
  2993.600    88.4375    66.3750     1.5457    26.6602     2.5010 
  2993.800    95.6250    72.5000     1.5196    27.7305     2.5071 
  2994.000    96.6172    76.3984     1.5496    28.4805     2.4629 
  2994.200    92.2500    77.1326     1.6108    29.0430     2.4016 
  2994.400    91.2305    77.3906     1.6468    30.1328     2.3635 
  2994.600    93.1484    76.5234     1.6490    32.3164     2.3468 
  2994.800    92.0781    73.8555     1.6469    33.8711     2.3453 
  2995.000    90.6836    70.5820     1.6438    32.4766     2.3633 
  2995.200    92.6367    69.6445     1.6238    29.7344     2.3772 
  2995.400    93.6367    70.8984     1.6048    27.6094     2.3852 
  2995.600    92.3008    70.9570     1.5917    27.1172     2.3991 
  2995.800    90.0703    70.9531     1.5831    27.2590     2.3970 
  2996.000    89.9727    73.9180     1.5786    26.3906     2.3765 
  2996.200    92.0977    78.4766     1.5872    25.1182     2.3626 
  2996.400    93.1172    79.7656     1.6067    25.0972     2.3721 
  2996.600    92.2969    77.7891     1.6287    24.8594     2.3807 
  2996.800    90.9023    74.5000     1.6648    24.2344     2.3865 
  2997.000    89.7939    71.2930     1.7117    25.4961     2.4199 
  2997.200    90.7109    68.1484     1.7419    27.3047     2.4449 
  2997.400    91.6680    65.5234     1.7686    27.5208     2.4326 
  2997.600    89.3750    64.5000     1.8000    27.2988     2.3735 
  2997.800    86.8555    63.9219     1.8224    27.4441     2.3250 
  2998.000    85.8789    63.5691     1.8253    27.6335     2.3251 
  2998.200    87.8203    64.7422     1.8148    27.8740     2.3640 
  2998.400    89.5977    68.2500     1.8031    27.4141     2.4028 
  2998.600    90.4414    72.6172     1.7926    26.5703     2.4176 
  2998.800    89.9766    74.0820     1.7791    25.6875     2.4157 
  2999.000    90.6562    73.4141     1.7683    24.5352     2.4053 
  2999.200    93.8281    73.4727     1.7579    23.8281     2.4002 
  2999.400    94.2852    73.6797     1.7271    23.8906     2.4074 
  2999.600    92.3242    72.2031     1.6516    23.8594     2.4175 
  2999.800    91.1133    71.1641     1.5542    23.0000     2.4224 
  3000.000    92.8125    72.0547     1.4741    22.8633     2.4134 
  3000.200    96.6250    74.4766     1.4253    23.9961     2.4039 
  3000.400   100.6992    75.7031     1.4059    25.8828     2.4092 
  3000.600   102.3398    75.1680     1.4128    27.9766     2.3986 
  3000.800    99.5625    74.1729     1.4607    28.4392     2.3819 
  3001.000    94.5625    74.7695     1.5544    29.1094     2.3716 
