   DEPTH 	DT 	   GR 	      ILD 	NPHI 	    RHOB
  2950.200    89.1641    78.4492     1.7232    24.7969     2.4984 
  2950.400    90.4185    80.2617     1.7415    25.8906     2.4950 
  2950.600    89.5469    82.2031     1.8008    26.2795     2.4832 
  2950.800    88.5078    82.6934     1.8838    25.8828     2.4728 
  2951.000    88.7383    82.7773     1.9624    25.5601     2.4691 
  2951.200    89.0422    83.4141     2.0130    25.2422     2.4747 
  2951.400    89.1045    85.2578     2.0059    24.2539     2.4826 
  2951.600    89.1807    88.1211     1.9731    23.5215     2.4861 
  2951.800    89.4805    89.5156     1.9451    23.7031     2.4855 
  2952.000    89.9209    89.4922     1.9197    24.1016     2.4791 
  2952.200    89.9180    89.5547     1.8965    24.0117     2.4697 
  2952.400    89.2266    89.8906     1.8824    23.5508     2.4651 
  2952.600    88.3008    89.3125     1.8800    23.3008     2.4687 
  2952.800    87.6172    87.6836     1.8800    23.6484     2.4823 
  2953.000    87.6406    86.6914     1.8800    23.9058     2.4875 
  2953.200    88.2344    87.3828     1.8821    23.8877     2.4752 
  2953.400    87.9180    90.2812     1.8931    23.6055     2.4637 
  2953.600    86.4180    93.1875     1.9241    22.4805     2.4614 
  2953.800    84.8477    93.8770     2.0010    20.9648     2.4595 
  2954.000    84.5547    92.3555     2.0959    20.0898     2.4574 
  2954.200    84.9165    88.9375     2.1494    20.0352     2.4637 
  2954.400    84.8086    82.1250     2.1600    20.6055     2.4871 
  2954.600    84.1562    73.8125     2.1600    21.1887     2.5256 
  2954.800    83.4844    70.8281     2.1600    20.8047     2.5540 
  2955.000    83.0469    73.5977     2.1600    19.6094     2.5588 
  2955.200    83.0039    78.7500     2.1600    19.5078     2.5476 
  2955.400    84.1055    89.3125     2.1600    20.7773     2.5326 
  2955.600    86.7500   101.1875     2.1600    21.5742     2.5176 
  2955.800    89.1992    99.3125     2.1600    22.2305     2.4990 
  2956.000    88.7422    81.1875     2.1598    22.7751     2.4802 
  2956.200    86.1133    65.6250     2.1556    21.7969     2.4826 
  2956.400    84.1914    60.2695     2.1267    19.5625     2.5129 
  2956.600    85.3867    61.6116     2.0679    19.2070     2.5272 
  2956.800    87.0273    60.2578     1.9902    21.1641     2.5100 
  2957.000    87.5662    56.4688     1.9187    22.4375     2.4922 
  2957.200    86.7266    54.6680     1.8863    21.4922     2.4933 
  2957.400    85.8633    56.2344     1.8802    20.5586     2.5080 
  2957.600    86.2422    57.5898     1.8822    20.7031     2.5207 
  2957.800    87.2422    55.3633     1.9028    21.5586     2.5202 
  2958.000    87.4297    51.8008     1.9607    22.1050     2.5140 
  2958.200    86.5664    49.1484     2.0459    21.5430     2.5132 
  2958.400    84.4453    46.2617     2.1052    19.9766     2.5222 
  2958.600    81.5781    42.9414     2.1096    18.5195     2.5417 
  2958.800    78.5195    42.1367     2.0875    16.9961     2.5635 
  2959.000    76.5391    45.4375     2.0804    15.4324     2.5777 
  2959.200    79.0039    50.1172     2.0798    15.8164     2.5723 
  2959.400    82.7852    52.6523     2.0744    17.7656     2.5563 
  2959.600    84.5977    53.3633     2.0420    19.5391     2.5431 
  2959.800    84.7810    53.7737     1.9937    20.2070     2.5360 
  2960.000    84.4844    53.4648     1.9607    20.5586     2.5298 
  2960.200    84.0117    53.0618     1.9395    20.8044     2.5253 
  2960.400    83.7732    55.0352     1.9241    20.5703     2.5294 
  2960.600    84.2812    57.8633     1.9201    20.1865     2.5418 
  2960.800    85.2383    58.5142     1.9200    20.4609     2.5536 
  2961.000    85.9531    56.5391     1.9200    21.2656     2.5589 
  2961.200    86.1999    53.9258     1.9200    21.6809     2.5570 
  2961.400    86.0312    51.8008     1.9200    21.5156     2.5533 
  2961.600    85.4609    50.8555     1.9200    20.9883     2.5509 
  2961.800    84.8555    52.6406     1.9200    20.4375     2.5447 
  2962.000    84.6389    56.0039     1.9200    20.3728     2.5353 
  2962.200    84.9023    58.0647     1.9297    21.0039     2.5290 
  2962.400    85.2188    57.9875     1.9670    21.7227     2.5293 
  2962.600    84.7422    58.0371     2.0190    21.7959     2.5343 
  2962.800    83.8086    58.7617     2.0562    21.2266     2.5407 
  2963.000    83.1289    60.5000     2.0754    20.4023     2.5426 
  2963.200    83.2031    62.7500     2.0799    19.9465     2.5377 
  2963.400    84.8203    66.3359     2.0800    20.1953     2.5280 
  2963.600    87.4922    71.1055     2.0800    21.1445     2.5180 
  2963.800    88.8792    72.7227     2.0800    22.2422     2.5114 
  2964.000    88.1289    70.3594     2.0800    22.7190     2.5080 
  2964.200    86.4609    68.6016     2.0802    22.3906     2.5043 
  2964.400    85.4766    70.2305     2.0832    21.7852     2.4988 
  2964.600    85.4688    73.3281     2.1008    21.3281     2.4935 
  2964.800    86.8789    77.5625     2.1562    21.3242     2.4897 
  2965.000    89.1172    81.5117     2.2275    21.9023     2.4885 
  2965.200    90.3320    80.1953     2.2727    22.5742     2.4888 
  2965.400    89.8711    70.9375     2.2801    22.7305     2.4906 
  2965.600    86.9297    59.6875     2.2814    21.7852     2.4969 
  2965.800    83.5391    53.0625     2.2878    20.5078     2.5074 
  2966.000    82.0469    50.4336     2.3037    19.3477     2.5194 
  2966.200    81.9844    50.4199     2.3166    18.5718     2.5266 
  2966.400    80.5312    49.4883     2.3199    18.8438     2.5334 
  2966.600    77.6680    45.9375     2.3200    18.9873     2.5493 
  2966.800    75.2578    43.0977     2.3189    17.2305     2.5686 
  2967.000    75.3867    44.0625     2.3022    16.7539     2.5727 
  2967.200    79.2500    46.7461     2.2188    18.2773     2.5652 
  2967.400    84.9375    49.5234     2.0647    19.9336     2.5474 
  2967.600    89.8086    53.2461     1.9277    22.4688     2.5083 
  2967.800    93.2812    57.8750     1.8569    24.9805     2.4707 
  2968.000    94.9988    63.1133     1.8414    26.1677     2.4558 
  2968.200    94.8320    65.4766     1.8400    25.7656     2.4622 
