   DEPTH 	DT 	   GR	      ILD       NPHI 	   RHOB	
  2950.000    74.2422    35.1445     2.6609   -99999.0   -99999.0 
  2950.200    78.2812    37.6875     2.5735   -99999.0   -99999.0 
  2950.400    80.6602    42.6875     2.5105   -99999.0   -99999.0 
  2950.600    80.9893    45.7930     2.4714   -99999.0   -99999.0 
  2950.800    80.1719    44.7070     2.4429   -99999.0   -99999.0 
  2951.000    78.7227    40.6211     2.4092   -99999.0   -99999.0 
  2951.200    78.2317    38.2109     2.3730   -99999.0   -99999.0 
  2951.400    79.3320    40.2344     2.3592   -99999.0   -99999.0 
  2951.600    80.1497    42.1719     2.3656   -99999.0   -99999.0 
  2951.800    80.3906    41.3672     2.3579   -99999.0   -99999.0 
  2952.000    80.5664    39.5352     2.3375   -99999.0   -99999.0 
  2952.200    80.1992    37.7227     2.3345   -99999.0   -99999.0 
  2952.400    79.8125    36.3164     2.3435   -99999.0   -99999.0 
  2952.600    79.3633    36.1133     2.3604   -99999.0   -99999.0 
  2952.800    79.9609    38.2461     2.3892   -99999.0   -99999.0 
  2953.000    81.0938    41.3320     2.4348   -99999.0   -99999.0 
  2953.200    81.2996    42.6562     2.4834   -99999.0   -99999.0 
  2953.400    80.1172    39.1250     2.5227   -99999.0   -99999.0 
  2953.600    78.3633    35.0430     2.5468   -99999.0   -99999.0 
  2953.800    77.8157    35.4219     2.5552   -99999.0   -99999.0 
  2954.000    78.2380    40.2734     2.5725   -99999.0   -99999.0 
  2954.200    78.4648    41.2148     2.5967   -99999.0   -99999.0 
  2954.400    78.7261    38.9727     2.5983   -99999.0   -99999.0 
  2954.600    79.3516    41.1250     2.5537   -99999.0   -99999.0 
  2954.800    82.2461    46.9375     2.4937   -99999.0   -99999.0 
  2955.000    85.1250    52.2500     2.4375   -99999.0   -99999.0 
  2955.200    86.1643    55.0117     2.3748   -99999.0   -99999.0 
  2955.400    85.8711    52.6562     2.3181   -99999.0   -99999.0 
  2955.600    85.0312    48.8438     2.2815   -99999.0   -99999.0 
  2955.800    84.4023    46.3555     2.2729   -99999.0   -99999.0 
  2956.000    83.6719    44.4492     2.2670   -99999.0   -99999.0 
  2956.200    81.5664    43.3320     2.2561   -99999.0   -99999.0 
  2956.400    79.9492    42.4492     2.2520   -99999.0   -99999.0 
  2956.600    80.7227    41.5391     2.2590   -99999.0   -99999.0 
  2956.800    81.9648    41.0510     2.2642   -99999.0   -99999.0 
  2957.000    83.3672    41.0774     2.2651   -99999.0   -99999.0 
  2957.200    83.4258    41.5664     2.2676   -99999.0   -99999.0 
  2957.400    82.6523    42.4102     2.2686   -99999.0   -99999.0 
  2957.600    81.7617    42.7546     2.2776   -99999.0   -99999.0 
  2957.800    81.2305    41.4062     2.2996   -99999.0   -99999.0 
  2958.000    81.0227    39.3906     2.3408   -99999.0   -99999.0 
  2958.200    81.4258    37.9609     2.3994   -99999.0   -99999.0 
  2958.400    82.0469    36.2422     2.4592   -99999.0   -99999.0 
  2958.600    81.8672    34.9688     2.4976   -99999.0   -99999.0 
  2958.800    81.3086    34.6870     2.5093   -99999.0   -99999.0 
  2959.000    81.1580    34.3555     2.5008   -99999.0   -99999.0 
  2959.200    81.4336    35.1211     2.4859   -99999.0   -99999.0 
  2959.400    81.9688    37.4648     2.4743   -99999.0   -99999.0 
  2959.600    81.5898    39.2070     2.4633   -99999.0   -99999.0 
  2959.800    79.9648    39.1079     2.4370   -99999.0   -99999.0 
  2960.000    79.3711    39.8867     2.4094   -99999.0   -99999.0 
  2960.200    81.8945    44.0000     2.4158   -99999.0   -99999.0 
  2960.400    85.4453    51.7500     2.4717   -99999.0   -99999.0 
  2960.600    85.9609    59.2500     2.5303   -99999.0   -99999.0 
  2960.800    84.4258    59.6602     2.5601   -99999.0   -99999.0 
  2961.000    81.5039    52.1250     2.5769   -99999.0   -99999.0 
  2961.200    80.0547    46.2266     2.6016   -99999.0   -99999.0 
  2961.400    81.7383    46.4414     2.6270   -99999.0   -99999.0 
  2961.600    85.0430    57.1875     2.6467   -99999.0   -99999.0 
  2961.800    86.6367    76.4375     2.6540   -99999.0   -99999.0 
  2962.000    84.6836    80.1250     2.6355   -99999.0   -99999.0 
  2962.200    80.8750    61.8125     2.5701   -99999.0   -99999.0 
  2962.400    79.8516    45.1250     2.4736   -99999.0   -99999.0 
  2962.600    82.3398    40.7031     2.3862   -99999.0   -99999.0 
  2962.800    85.6055    42.1992     2.3088   -99999.0   -99999.0 
  2963.000    86.5938    46.2852     2.2346   -99999.0   -99999.0 
  2963.200    84.8359    47.7227     2.1604   -99999.0   -99999.0 
  2963.400    81.7539    44.6289     2.1101   -99999.0   -99999.0 
  2963.600    80.9844    41.4570     2.0910   -99999.0   -99999.0 
