  DEPTH     ILD     GR      RHOB     DT
 476.8000  0.5370 62.2209  1.9090 155.0530
 476.9000  0.5370 62.6789  1.9090 155.0530
 477.0000  0.5300 61.9646  1.9020 161.0490
 477.1000  0.5470 60.2273  1.8560 167.0460
 477.2000  0.5470 57.8629  1.8560 167.0460
 477.3000  0.5460 55.4855  1.7570 176.6430
 477.4000  0.5450 54.2195  1.5760 162.8390
 477.5000  0.5450 53.5031  1.5760 162.8390
 477.6000  0.6180 54.0008  1.4620 186.6360
 477.7000  0.6210 56.2561  1.3880 192.2340
 477.8000  0.6210 60.3976  1.3880 192.2340
 477.9000  0.5810 64.0255  1.3720 197.8310
 478.0000  0.5180 66.8762  1.3690 201.8280
 478.1000  0.5180 68.1823  1.3690 201.8280
 478.2000  0.4760 69.1340  1.3740 202.2240
 478.3000  0.5150 68.5972  1.3830 202.4220
 478.4000  0.5150 68.7805  1.3830 202.4220
 478.5000  0.5180 68.8563  1.3920 202.4180
 478.6000  0.5330 68.2343  1.3980 202.2150
 478.7000  0.5330 65.9117  1.3980 202.2150
 478.8000  0.5480 63.7638  1.4030 202.2130
 478.9000  0.5190 62.0325  1.3970 202.6100
 479.0000  0.5190 61.6158  1.3970 202.6100
 479.1000  0.5430 62.1734  1.3970 203.4050
 479.2000  0.5550 63.7014  1.4030 203.3980
 479.3000  0.5550 64.5328  1.4030 203.3980
 479.4000  0.5890 64.9688  1.4120 203.1960
 479.5000  0.6020 64.0078  1.4170 202.7930
 479.6000  0.6020 62.9900  1.4170 202.7930
 479.7000  0.5260 61.8309  1.4070 202.5910
 479.8000  0.5320 60.9038  1.4030 202.7880
 479.9000  0.5320 58.9818  1.4030 202.7880
 480.0000  0.5250 57.4090  1.4010 202.5840
 480.1000  0.5680 55.8331  1.3960 202.5810
 480.2000  0.5680 54.7238  1.3960 202.5810
 480.3000  0.5410 52.9160  1.3960 202.5780
 480.4000  0.5180 51.7773  1.3910 202.1740
 480.5000  0.5180 51.9201  1.3910 202.1740
 480.6000  0.5180 54.0357  1.4000 202.5720
 480.7000  0.5270 56.0206  1.3940 202.7690
 480.8000  0.5270 58.1188  1.3940 202.7690
 480.9000  0.5710 60.2183  1.3860 202.7650
 481.0000  0.5710 63.3836  1.3860 202.7650
 481.1000  0.6300 65.6240  1.3880 202.9620
 481.2000  0.5840 65.6641  1.4070 203.1590
 481.3000  0.5840 64.7518  1.4070 203.1590
 481.4000  0.5830 62.6651  1.4240 203.1560
 481.5000  0.5270 59.3041  1.4090 202.9540
 481.6000  0.5270 54.8545  1.4090 202.9540
 481.7000  0.5530 51.4942  1.3810 202.9520
 481.8000  0.6120 49.3111  1.3620 202.9490
 481.9000  0.6120 49.0716  1.3620 202.9490
 482.0000  0.6030 49.6776  1.3600 203.1460
 482.1000  0.6540 52.3602  1.3620 202.9520
 482.2000  0.6540 55.5099  1.3620 202.9520
 482.3000  0.5490 58.3386  1.3690 202.9490
 482.4000  0.5560 59.0566  1.4020 203.1460
 482.5000  0.5560 58.8454  1.4020 203.1460
 482.6000  0.5830 58.7890  1.4670 202.5430
 482.7000  0.6320 59.9321  1.5530 199.7380
 482.8000  0.6320 61.0339  1.5530 199.7380
 482.9000  0.5880 62.9374  1.6120 198.9360
 483.0000  0.5460 64.2876  1.6800 195.9330
 483.1000  0.5460 64.3019  1.6800 195.9330
 483.2000  0.5290 62.4909  1.7710 192.3290
 483.3000  0.5440 60.8540  1.8400 189.1270
 483.4000  0.5440 59.5449  1.8400 189.1270
 483.5000  0.5330 58.7120  1.7830 186.9240
 483.6000  0.5280 57.4787  1.7010 184.9210
 483.7000  0.5280 56.6471  1.7010 184.9210
 483.8000  0.5480 56.9932  1.6270 185.7180
 483.9000  0.5390 58.8853  1.6030 187.3150
 484.0000  0.5390 60.6539  1.6030 187.3150
 484.1000  0.5230 61.8891  1.5910 190.7120
 484.2000  0.4850 63.3462  1.5900 193.9080
 484.3000  0.4850 64.5829  1.5900 193.9080
 484.4000  0.4600 64.8947  1.6060 194.9040
 484.5000  0.5030 64.0346  1.6560 194.9040
 484.6000  0.5030 64.2233  1.6560 195.7020
 484.7000  0.5430 62.6993  1.7000 195.7020
 484.8000  0.5430 61.6618  1.7000 195.7020
 484.9000  0.5980 59.3154  1.7500 197.0970
 485.0000  0.5510 59.7678  1.7560 197.8940
 485.1000  0.5510 59.5452  1.7560 197.8940
 485.2000  0.5420 62.4755  1.7690 198.0920
 485.3000  0.5170 64.0135  1.7600 198.4900
