   DEPTH     ILD     GR      RHOB     DT
 1505.0000 -999.2500 86.6400  1.9750 120.1210
 1505.0500 -999.2500 89.4180  2.0380 114.8920
 1505.1000 -999.2500 89.4180  2.0810 114.8920
 1505.1500 -999.2500 89.4180  2.0970 114.8920
 1505.2000 -999.2500 91.1320  2.0910 110.8900
 1505.2500 -999.2500 91.1320  2.0800 110.8900
 1505.3000 -999.2500 91.1320  2.0750 110.8900
 1505.3500 -999.2500 94.0170  2.0780 107.6040
 1505.4000 -999.2500 94.0170  2.0860 107.6040
 1505.4500 -999.2500 94.0170  2.0910 107.6040
 1505.5000 -999.2500 98.7770  2.0950 108.8720
 1505.5500 -999.2500 98.7770  2.1040 108.8720
 1505.6000 -999.2500 98.7770  2.1210 108.8720
 1505.6500 -999.2500 97.6160  2.1420 110.1790
 1505.7000 -999.2500 97.6160  2.1630 110.1790
 1505.7500 -999.2500 97.6160  2.1790 110.1790
 1505.8000 -999.2500 103.3170  2.1900 107.9820
 1505.8500 -999.2500 103.3170  2.2010 107.9820
 1505.9000 -999.2500 103.3170  2.2160 107.9820
 1505.9500 -999.2500 106.8760  2.2330 106.6920
 1506.0000 -999.2500 106.8760  2.2470 106.6920
 1506.0500 -999.2500 106.8760  2.2570 106.6920
 1506.1000 -999.2500 109.9220  2.2640 109.0210
 1506.1500 -999.2500 109.9220  2.2690 109.0210
 1506.2000 -999.2500 109.9220  2.2730 109.0210
 1506.2500 -999.2500 106.0780  2.2740 108.8090
 1506.3000 -999.2500 106.0780  2.2690 108.8090
 1506.3500 -999.2500 106.0780  2.2540 108.8090
 1506.4000 -999.2500 106.2870  2.2310 109.4980
 1506.4500 -999.2500 106.2870  2.2080 109.4980
 1506.5000 -999.2500 106.2870  2.1870 109.4980
 1506.5500 -999.2500 106.2870  2.1870 109.4980
 1506.6000 -999.2500 106.2180  2.1690 108.5190
 1506.6500 -999.2500 106.2180  2.1570 108.5190
 1506.7000 -999.2500 106.2180  2.1480 108.5190
 1506.7500 -999.2500 110.2690  2.1420 110.1270
 1506.8000 -999.2500 110.2690  2.1410 110.1270
 1506.8500 -999.2500 110.2690  2.1480 110.1270
 1506.9000 -999.2500 103.7830  2.1630 111.3200
 1506.9500 -999.2500 103.7830  2.1800 111.3200
 1507.0000 -999.2500 103.7830  2.1930 111.3200
 1507.0500 -999.2500 101.5490  2.2020 110.3460
 1507.1000 -999.2500 101.5490  2.2080 110.3460
 1507.1500 -999.2500 101.5490  2.2160 110.3460
 1507.2000 -999.2500 91.7410  2.2270 110.4850
 1507.2500 -999.2500 91.7410  2.2380 110.4850
 1507.3000 -999.2500 91.7410  2.2470 110.4850
 1507.3500 -999.2500 92.9920  2.2510 110.9410
 1507.4000 -999.2500 92.9920  2.2510 110.9410
 1507.4500 -999.2500 92.9920  2.2510 110.9410
 1507.5000 -999.2500 94.3360  2.2520 111.8230
 1507.5500 -999.2500 94.3360  2.2550 111.8230
 1507.6000 -999.2500 94.3360  2.2580 111.8230
 1507.6500 -999.2500 100.9560  2.2580 111.5430
 1507.7000 -999.2500 100.9560  2.2560 111.5430
 1507.7500 -999.2500 100.9560  2.2560 111.5430
 1507.8000 -999.2500 105.8410  2.2590 109.7890
 1507.8500 -999.2500 105.8410  2.2660 109.7890
 1507.9000 -999.2500 105.8410  2.2760 109.7890
 1507.9500 -999.2500 109.8240  2.2860 111.2990
 1508.0000 12.8730 109.8240  2.2930 111.2990
 1508.0500 12.7120 109.8240  2.2940 111.2990
 1508.1000 12.5970 107.5690  2.2920 112.1400
 1508.1500 12.5510 107.5690  2.2900 112.1400
 1508.2000 12.5970 107.5690  2.2900 112.1400
 1508.2500 12.6200 107.9320  2.2930 111.3680
 1508.3000 12.6200 107.9320  2.2970 111.3680
 1508.3500 12.5740 107.9320  2.2980 111.3680
 1508.4000 12.5740 110.5620  2.2990 110.3680
 1508.4500 12.6200 110.5620  2.2970 110.3680
 1508.5000 12.6660 110.5620  2.2960 110.3680
 1508.5500 12.6660 113.0690  2.2950 112.8230
 1508.6000 12.6890 113.0690  2.2930 112.8230
 1508.6500 12.6890 113.0690  2.2890 112.8230
 1508.7000 12.6890 109.0760  2.2820 113.5530
 1508.7500 12.6890 109.0760  2.2740 113.5530
