   DEPTH        DT         GR         ILD       NPHI        RHOB
  3000.000    87.9922    71.0039     2.2695    23.4688     2.4475 
  3000.200    89.0195    71.7539     2.3762    23.0747     2.4445 
  3000.400    91.1875    75.1250     2.5002    23.8711     2.4376 
  3000.600    93.2266    83.2500     2.5505    26.3164     2.4306 
  3000.800    94.8359    95.2500     2.4961    26.8867     2.4209 
  3001.000    96.5273   101.9453     2.4138    25.5703     2.4124 
  3001.200    96.0352    93.9375     2.3369    24.7969     2.4167 
  3001.400    94.9219    74.3750     2.2581    24.2617     2.4368 
  3001.600    93.8242    60.0625     2.1504    23.4922     2.4547 
  3001.800    91.0469    55.6133     2.0342    23.2009     2.4601 
  3002.000    88.0586    54.1602     1.9612    22.5547     2.4588 
  3002.200    86.1680    51.3398     1.9561    21.5742     2.4575 
  3002.400    85.2969    49.6133     2.0195    21.1150     2.4519 
  3002.600    85.5859    51.5625     2.1372    21.6719     2.4416 
  3002.800    87.4492    57.1875     2.2556    23.1836     2.4346 
  3003.000    91.5000    68.7500     2.3142    25.9297     2.4165 
  3003.200    96.9219    89.6875     2.2998    29.4258     2.3750 
  3003.400    98.8125   106.3398     2.2493    29.5078     2.3528 
  3003.600    96.1797    98.1250     2.1960    26.2539     2.3821 
  3003.800    92.0898    72.1250     2.1265    23.3242     2.4316 
  3004.000    89.2852    56.6719     2.0054    22.7786     2.4547 
  3004.200    88.4734    55.8438     1.8716    22.9419     2.4554 
  3004.400    88.9102    59.8750     1.7961    23.0994     2.4482 
  3004.600    90.0156    62.6133     1.8315    23.7578     2.4483 
  3004.800    91.4922    64.7148     1.9590    26.1094     2.4451 
  3005.000    92.0767    68.3047     2.1213    28.6875     2.4292 
  3005.200    88.4375    67.2500     2.2214    26.5000     2.4587 
  3005.400    81.3125    56.1875     2.2285    20.1875     2.5376 
  3005.600    76.9961    46.3125     2.1985    17.2109     2.5628 
  3005.800    79.5000    48.5000     2.1462    19.8789     2.5066 
  3006.000    85.6250    57.0000     2.0442    23.1484     2.4541 
  3006.200    89.3125    60.4023     1.8999    23.7656     2.4445 
  3006.400    89.5625    56.8125     1.7598    23.1367     2.4502 
  3006.600    88.4883    50.6250     1.6799    22.8259     2.4449 
  3006.800    87.8555    45.6836     1.6560    22.8831     2.4331 
  3007.000    87.9102    42.8438     1.6631    23.2227     2.4199 
  3007.200    88.6836    43.3047     1.6662    23.7969     2.4122 
  3007.400    89.5703    45.1992     1.6526    24.3398     2.4171 
  3007.600    90.2344    46.7227     1.6328    24.2266     2.4259 
  3007.800    90.8242    49.0000     1.6201    23.9102     2.4247 
  3008.000    91.6484    52.4688     1.6148    24.4492     2.4196 
  3008.200    92.3125    54.7773     1.6140    24.8696     2.4190 
  3008.400    92.2305    54.3906     1.6187    24.9766     2.4251 
  3008.600    91.9763    52.7852     1.6303    25.2773     2.4343 
  3008.800    91.6914    51.2148     1.6506    24.8047     2.4401 
  3009.000    90.9492    49.6133     1.6750    23.3555     2.4400 
  3009.200    89.7109    47.2148     1.6968    22.3203     2.4352 
  3009.400    88.4961    45.0625     1.7200    22.1812     2.4312 
  3009.600    87.7844    45.3086     1.7463    22.8945     2.4298 
  3009.800    87.6917    47.2109     1.7675    23.3740     2.4297 
  3010.000    87.9021    47.4922     1.7828    23.7461     2.4276 
  3010.200    88.0142    46.7422     1.7914    24.4336     2.4228 
  3010.400    87.7734    47.5586     1.7808    23.9727     2.4281 
  3010.600    87.4258    48.3047     1.7598    22.8008     2.4405 
  3010.800    87.4070    47.5547     1.7412    22.2188     2.4417 
  3011.000    87.7578    47.5625     1.7273    22.4336     2.4379 
  3011.200    88.0488    50.6875     1.7125    22.7651     2.4435 
  3011.400    88.2383    55.4375     1.6976    22.4844     2.4503 
  3011.600    88.3328    58.6211     1.6956    21.6211     2.4540 
  3011.800    88.7461    58.7969     1.7134    21.7539     2.4565 
  3012.000    89.6953    58.7695     1.7363    22.9961     2.4539 
  3012.200    90.7227    62.0625     1.7375    24.3711     2.4475 
  3012.400    91.3320    68.0000     1.7104    25.2891     2.4480 
  3012.600    91.6245    72.3867     1.6780    26.2461     2.4574 
  3012.800    91.9124    72.9727     1.6555    26.6016     2.4634 
  3013.000    91.6953    70.7344     1.6514    25.6094     2.4647 
  3013.200    90.9531    67.4180     1.6711    24.5586     2.4675 
  3013.400    90.1367    63.7305     1.7312    23.9883     2.4642 
  3013.600    90.0273    63.8750     1.8201    24.8359     2.4507 
  3013.800    91.2461    73.5625     1.8892    27.5312     2.4324 
  3014.000    93.0352    91.1250     1.9253    29.1328     2.4221 
  3014.200    93.3438   100.3438     1.9356    27.0391     2.4404 
  3014.400    91.6953    92.7500     1.9409    24.2383     2.4647 
  3014.600    90.1094    80.9375     1.9447    23.1133     2.4662 
  3014.800    91.2461    80.8125     1.9358    25.2578     2.4497 
  3015.000    95.0625    96.8125     1.9165    29.6250     2.4163 
  3015.200    99.0391   118.8750     1.9116    32.8984     2.3704 
  3015.400   100.9219   129.1875     1.9866    32.1133     2.3572 
  3015.600    99.3750   119.3125     2.1824    28.0000     2.3972 
  3015.800    96.0703   108.2500     2.4263    24.8906     2.4290 
  3016.000    93.6367   111.8750     2.6619    25.1953     2.4143 
  3016.200    93.5625   126.7500     2.8713    27.7070     2.3828 
  3016.400    93.7312   132.0078     3.0544    28.2773     2.3781 
  3016.600    92.4375   120.5000     3.1565    25.3203     2.3967 
  3016.800    90.7070   105.6875     3.1003    22.3828     2.4119 
  3017.000    90.5742   100.0234     2.9856    22.1133     2.4121 
  3017.200    91.9375    98.3398     2.9253    22.6797     2.4053 
  3017.400    93.6484    99.3125     2.9651    23.7656     2.3969 
  3017.600    94.2681   108.7500     3.0635    26.3945     2.3840 
  3017.800    93.5742   123.1875     3.2268    27.9453     2.3730 
  3018.000    91.6094   131.5625     3.5156    26.1562     2.3776 
  3018.200    88.4258   127.1250     3.8237    23.2617     2.3960 
  3018.400    84.9023   113.4375     3.9264    20.9062     2.4146 
  3018.600    82.1875    97.3750     3.7266    18.7305     2.4275 
  3018.800    81.5742    86.2500     3.3789    18.0195     2.4338 
  3019.000    83.3594    81.9453     3.0879    19.9688     2.4364 
  3019.200    86.7188    83.8125     2.8940    23.5508     2.4337 
  3019.400    89.2539    91.3750     2.7361    25.4026     2.4196 
