   DEPTH        DT	   GR 	      ILD 	NPHI	   RHOB
  3000.000    78.7270    51.0955     2.6208    19.0355     2.5243 
  3000.200    79.0381    53.1880     2.5719    19.0355     2.5243 
  3000.400    79.9757    56.8567     2.5682    19.4286     2.5304 
  3000.600    80.8909    59.2631     2.5770    19.8533     2.5361 
  3000.800    80.7649    56.7109     2.5625    19.3575     2.5255 
  3001.000    79.7310    51.7632     2.5437    18.1974     2.5114 
  3001.200    78.5192    48.7008     2.5463    17.7150     2.5141 
  3001.400    78.0893    49.9418     2.5808    17.9183     2.5305 
  3001.600    78.5644    53.3626     2.6361    18.6435     2.5399 
  3001.800    79.1963    54.6649     2.6790    19.9687     2.5415 
  3002.000    79.0646    53.8925     2.6960    20.3452     2.5408 
  3002.200    77.9976    53.1956     2.7025    19.4677     2.5448 
  3002.400    76.8452    51.3153     2.7136    18.2662     2.5536 
  3002.600    76.2996    48.3213     2.7275    17.0229     2.5585 
  3002.800    76.4098    48.3397     2.7383    16.5593     2.5576 
  3003.000    76.9980    52.0419     2.7363    17.6534     2.5601 
  3003.200    77.8704    56.0002     2.7132    19.1410     2.5623 
  3003.400    78.4083    56.1604     2.6673    19.3125     2.5526 
  3003.600    78.3682    55.0881     2.6096    18.4776     2.5436 
  3003.800    78.0194    54.3552     2.5538    17.2022     2.5496 
  3004.000    78.0102    53.3389     2.5238    16.5982     2.5562 
  3004.200    78.8103    52.1885     2.5307    17.2692     2.5487 
  3004.400    79.8681    52.0926     2.5236    18.3029     2.5427 
  3004.600    80.0105    54.4497     2.4584    18.2993     2.5467 
  3004.800    79.5670    56.1746     2.3561    17.6258     2.5501 
  3005.000    79.5775    56.0078     2.2493    17.2050     2.5520 
  3005.200    80.6642    56.6511     2.1792    17.8956     2.5469 
  3005.400    82.5285    59.5173     2.1538    19.8206     2.5368 
  3005.600    84.1681    62.7775     2.1354    21.9843     2.5364 
  3005.800    84.3593    62.6897     2.1041    22.3064     2.5446 
  3006.000    83.0564    59.3093     2.0790    21.6674     2.5460 
  3006.200    81.9655    55.9849     2.1018    21.6762     2.5433 
  3006.400    82.0084    54.8605     2.2008    22.1055     2.5374 
  3006.600    82.4742    55.3711     2.3059    22.3317     2.5320 
  3006.800    81.9800    54.1611     2.3509    21.3277     2.5333 
  3007.000    80.5921    50.2604     2.3645    19.3451     2.5413 
  3007.200    79.5999    47.0076     2.3953    18.5610     2.5496 
  3007.400    79.5948    47.5247     2.4584    19.2349     2.5516 
  3007.600    80.1547    51.1213     2.5182    20.0989     2.5450 
  3007.800    80.3932    53.2729     2.5307    19.9720     2.5394 
  3008.000    79.9354    53.4547     2.5250    18.9693     2.5442 
  3008.200    79.2874    53.0983     2.5284    18.3887     2.5478 
  3008.400    79.1095    51.9884     2.5652    18.4081     2.5385 
  3008.600    79.2424    51.4562     2.6423    18.6838     2.5329 
  3008.800    79.0596    51.4107     2.7304    18.8031     2.5347 
  3009.000    78.2681    49.8742     2.8055    18.6202     2.5336 
  3009.200    77.0921    46.4685     2.8400    17.6615     2.5343 
  3009.400    76.0457    43.2470     2.8389    16.3685     2.5401 
  3009.600    75.7914    42.8210     2.8265    16.1643     2.5419 
  3009.800    76.8664    45.2192     2.8181    17.7991     2.5384 
  3010.000    78.3300    47.5004     2.7818    18.7923     2.5339 
  3010.200    79.2023    49.4149     2.6933    18.2455     2.5303 
  3010.400    79.1846    50.3098     2.5593    17.7852     2.5273 
  3010.600    79.3095    51.1150     2.4482    18.1580     2.5267 
  3010.800    80.2160    54.1852     2.3887    19.2559     2.5318 
  3011.000    81.5005    57.2797     2.3446    20.5596     2.5346 
  3011.200    82.2856    57.1156     2.2845    20.8141     2.5240 
  3011.400    82.4552    57.3058     2.2170    20.0559     2.5103 
  3011.600    82.3648    59.6718     2.1892    20.0269     2.5094 
  3011.800    82.4803    59.7699     2.2269    20.9973     2.5141 
  3012.000    82.4929    56.0050     2.2971    21.0510     2.5164 
  3012.200    81.5645    51.4573     2.3587    19.3479     2.5207 
  3012.400    79.8372    47.9112     2.4030    17.6673     2.5291 
  3012.600    78.3780    47.2222     2.4527    17.1421     2.5303 
  3012.800    78.0552    49.9741     2.5213    18.0277     2.5233 
  3013.000    78.8096    51.8882     2.5703    19.4477     2.5190 
  3013.200    79.4204    50.8706     2.5841    19.8665     2.5210 
  3013.400    79.5424    49.3056     2.5788    19.4587     2.5257 
  3013.600    79.4149    48.8446     2.5915    19.0903     2.5284 
  3013.800    79.2252    49.0702     2.6456    18.6802     2.5307 
  3014.000    78.7816    49.5354     2.7053    18.0674     2.5308 
  3014.200    77.9913    47.9314     2.7467    17.6965     2.5296 
  3014.400    77.2772    45.3935     2.7778    17.2473     2.5341 
  3014.600    76.9167    46.0530     2.8087    16.6167     2.5396 
  3014.800    76.9756    47.8899     2.8173    16.2953     2.5330 
  3015.000    77.1935    45.9304     2.7892    16.4822     2.5257 
  3015.200    77.2955    44.5279     2.7494    16.8441     2.5298 
  3015.400    77.6812    46.8844     2.7136    17.4780     2.5379 
  3015.600    78.4172    48.9226     2.6793    18.5438     2.5316 
  3015.800    78.8387    48.4000     2.6361    19.2469     2.5158 
  3016.000    78.7412    46.3707     2.5692    18.7690     2.5043 
  3016.200    78.6194    45.6612     2.4934    18.7611     2.5000 
  3016.400    79.1934    48.3306     2.4472    19.5300     2.5041 
  3016.600    80.2879    53.0268     2.4150    19.7976     2.5120 
  3016.800    81.1754    55.8206     2.3633    19.5064     2.5089 
  3017.000    81.6727    54.9596     2.3182    19.4451     2.5013 
  3017.200    81.8477    53.0395     2.3099    20.0307     2.4973 
  3017.400    81.6158    50.8214     2.3308    20.7640     2.4939 
  3017.600    80.8632    48.0470     2.3506    19.6394     2.4947 
  3017.800    80.1251    47.3525     2.3695    17.8457     2.5018 
  3018.000    80.1200    49.5242     2.4047    17.9268     2.5080 
  3018.200    80.5160    49.4432     2.4254    19.1710     2.5088 
  3018.400    80.6091    45.0700     2.4019    19.7368     2.5068 
  3018.600    80.4047    42.6599     2.3697    19.0278     2.5048 
  3018.800    80.5824    45.9122     2.3795    18.7785     2.5055 
  3019.000    81.1209    48.8042     2.4078    20.1030     2.5127 
  3019.200    81.2678    48.2801     2.4127    20.5755     2.5149 
  3019.400    80.4091    46.2970     2.3894    18.8930     2.5039 
  3019.600    79.3845    46.6162     2.3631    17.8276     2.4968 
