    DEPTH     CALD       TEND       CORR        DEN       NPHI        GRR        SPR       CALR       TENR       RILD       RILM       RFOC       TENS         DT
   32.0000    12.6457    -9.4119     0.1706  -999.2500     0.0141  -999.2500  -999.2500  -999.2500  -999.2500  -999.2500  -999.2500  -999.2500    61.4749  -999.2500
   32.5000    12.6335   -11.0743     0.1543  -999.2500     0.0153  -999.2500  -999.2500  -999.2500  -999.2500  -999.2500  -999.2500  -999.2500    60.5263  -999.2500
   33.0000    12.6364   -12.7436     0.0975  -999.2500     0.0151  -999.2500  -999.2500  -999.2500  -999.2500  -999.2500  -999.2500  -999.2500    59.5665  -999.2500
   33.5000    12.6231   -14.4303     0.0992  -999.2500     0.0151  -999.2500  -999.2500  -999.2500  -999.2500  -999.2500  -999.2500  -999.2500    58.5949  -999.2500
   34.0000    12.6260    -8.5653     0.1294  -999.2500     0.0151    79.1402   -63.5542  -999.2500    19.8293  -999.2500  -999.2500  -999.2500    49.9692  -999.2500
   34.5000    12.6128   -10.6433     0.1681  -999.2500     0.0147    77.9939   -62.6506  -999.2500    19.8293  -999.2500  -999.2500  -999.2500    49.0206  -999.2500
   35.0000    12.6157   -12.3057     0.2863  -999.2500     0.0144    77.8436   -63.5542  -999.2500    19.8293  -999.2500  -999.2500  -999.2500    48.0719  -999.2500
   35.5000    12.6024   -13.9681     0.3268  -999.2500     0.0125    78.1104   -66.8675  -999.2500    19.8293  -999.2500  -999.2500  -999.2500    47.1232  -999.2500
   36.0000    12.6053   -15.6305     0.2985  -999.2500     0.0107    78.9754   -69.4277  -999.2500    19.8293  -999.2500  -999.2500  -999.2500    46.1745  -999.2500
   36.5000    12.6226   -17.2929     0.2852  -999.2500     0.0104    79.3011   -70.1807  -999.2500    19.8293  -999.2500  -999.2500  -999.2500    45.2259  -999.2500
   37.0000    12.6249   -18.9554     0.2900  -999.2500     0.0106    77.4996   -70.0301  -999.2500    19.8293  -999.2500  -999.2500  -999.2500    51.7937  -999.2500
   37.5000    12.6421   -12.7059     0.2527  -999.2500     0.0109    76.8172   -69.8795  -999.2500    19.8293  -999.2500  -999.2500  -999.2500    50.8024  -999.2500
   38.0000    12.6278    -6.8721    -0.0129  -999.2500     0.0121    76.3052   -69.7289  -999.2500     4.4885  -999.2500  -999.2500  -999.2500    49.8505  -999.2500
   38.5000    12.5277    -1.4538    -1.1929  -999.2500     0.0123    77.3189   -69.8795  -999.2500     4.9315  -999.2500  -999.2500  -999.2500    48.8789  -999.2500
   39.0000    12.4552     4.3800    -1.1974  -999.2500     0.0129    79.8171   -69.8795  -999.2500     5.2858  -999.2500  -999.2500  -999.2500    62.6669  -999.2500
   39.5000    12.3977    10.6294    -1.1714  -999.2500     0.0164    83.1367   -70.1807  -999.2500     5.6476  -999.2500  -999.2500  -999.2500    69.4292  -999.2500
   40.0000    12.3104    16.1169    -1.1456  -999.2500     0.0179    86.4005   -69.8795  -999.2500     6.0832  -999.2500  -999.2500  -999.2500    60.7695   231.3622
   40.5000    12.2822    21.9265    -0.9322  -999.2500     0.0197    94.1260   -69.2771  -999.2500     6.4375  -999.2500  -999.2500  -999.2500    52.3470   211.8034
   41.0000    12.2695    35.2324    -0.7075  -999.2500     0.0256   103.1829   -68.0723  -999.2500     6.7919  -999.2500  -999.2500  -999.2500    43.9245   197.4884
   41.5000    12.4817    41.0454    -0.2666  -999.2500     0.0283   116.2293   -65.9639  -999.2500     7.1536  -999.2500  -999.2500  -999.2500    42.9758   186.4336
   42.0000    12.6334    39.3553     0.0760     2.1103     0.0322   120.3917   -63.5542  -999.2500     7.5892     2.2988     4.1425  -999.2500    42.0271   181.4832
   42.5000    12.6955    45.2169     0.0777     2.3013     0.0360   117.3840   -61.7470  -999.2500     7.9435     1.9218     4.4576  -999.2500    56.0538   170.5109
   43.0000    12.7128    43.4783     0.0689     2.3037     0.0345   115.2795   -61.7470  -999.2500     8.2979     2.5722     7.2691  -999.2500    47.6036   147.5407
   43.5000    12.7151    41.4764     0.0436     2.2993     0.0338   114.0799   -61.7470  -999.2500     8.6596     4.9391     9.4140  -999.2500    38.5899   131.7509
   44.0000    12.7329    39.8140     0.0363     2.2957     0.0338   117.4072   -62.0482  -999.2500     9.0952    16.2970    11.5850  -999.2500    30.7175   127.1748
   44.5000    12.7501    38.4183     0.0411     2.2929     0.0329   123.7492   -62.1988  -999.2500     9.4496    17.9727    18.2966  -999.2500    29.5728   126.4161
   45.0000    12.7674    36.4892     0.0503     2.2923     0.0340   122.8513   -61.7470  -999.2500     9.8039    10.7460    20.1530  -999.2500    28.6241   126.1090
   45.5000    12.7697    34.8268     0.0460     2.2954     0.0346   120.1435   -60.8434  -999.2500    10.1657     8.2548    15.0346  -999.2500    20.2016   126.9944
   46.0000    12.7720    33.1644     0.0357     2.2993     0.0342   119.8490   -60.8434  -999.2500    10.6012     7.5426    16.5835  -999.2500    19.2529   128.0320
   46.5000    12.7743    31.6717     0.0516     2.2627     0.0321   120.7629   -63.2530  -999.2500    10.9556     7.2853    17.8901  -999.2500    18.3042   128.7702
   47.0000    12.7766    29.8395     0.0647     2.2500     0.0312   121.3733   -64.1566  -999.2500    11.3099     7.1316    17.5151  -999.2500    17.3555   128.4606
   47.5000    12.7938    28.1771     0.0590     2.2494     0.0321   120.1738   -63.8554  -999.2500    11.6717     7.1849    15.1368  -999.2500    23.9163   128.6000
   48.0000    12.7961    19.0185     0.0532     2.2624     0.0344   116.2326   -59.6386  -999.2500    12.1073     8.4871    11.8707  -999.2500    22.9320   128.9641
   48.5000    12.8134    17.3560     0.0519     2.2595     0.0361   111.1401   -43.9759  -999.2500    12.4616     9.8873    10.1880  -999.2500    29.4572   128.7984
   49.0000    12.8157    15.6936     0.0521     2.2243     0.0373   112.6555   -39.9096  -999.2500    12.8160    11.4387    10.7646  -999.2500    28.4753   128.4820
   49.5000    12.7737    14.0312     0.0508     2.2005     0.0379   113.5676   -39.4578  -999.2500    13.1777    11.6794    11.3749  -999.2500    27.3227   127.0594
   50.0000    12.7012    12.3688     0.0511     2.2156     0.0375   113.5914   -48.4940  -999.2500    13.7889    10.1656    10.3180  -999.2500    18.9002   125.4773
   50.5000    12.6731    10.6822     0.0423     2.2706     0.0366   110.5653   -49.3976  -999.2500    14.9136     9.5500     9.8246  -999.2500    10.4777   125.2425
   51.0000    12.6604     9.0440     0.0080     2.2797     0.0360   111.4792   -48.9458  -999.2500    16.0383     9.4184     9.7528  -999.2500    17.2400   125.2323
   51.5000    12.6633    14.8778     0.0127     2.2768     0.0365   116.3129   -48.4940  -999.2500    17.1630     9.4840     9.8851  -999.2500     8.5803   125.1472
   52.0000    12.5908    20.7117     0.0670     2.2679     0.0380   122.3532   -50.9036  -999.2500    18.2877     9.4840    10.0201  -999.2500     7.6316   124.8375
   52.5000    12.5035    26.1299     0.0687     2.2650     0.0412   127.7903   -56.9277  -999.2500    19.4124     9.6166    10.0151  -999.2500     6.6830   123.7045
   53.0000    12.4758    24.4675     0.0594     2.2741     0.0493   127.4974   -55.1205  -999.2500    20.5371     9.6835    10.0102  -999.2500     5.7343   121.1493
   53.5000    12.4782    22.8051     0.0482     2.3097     0.0622   128.1079   -49.2470  -999.2500    21.6618     9.6166    10.0062  -999.2500   -10.2392   121.1347
   54.0000    12.4955    28.6389     0.0439     2.3435     0.0853   128.7183   -47.8916  -999.2500    22.7865     9.4840     9.9342  -999.2500   -18.6099   121.2844
   54.5000    12.5127    16.4665     0.0321     2.3495     0.0975   126.2888   -48.7952  -999.2500    23.9112     9.3532     9.9984  -999.2500   -19.7704   121.8752
   55.0000    12.5305    23.0873     0.0023     2.3369     0.1062   122.3995   -49.6988  -999.2500    25.0359     9.2243     9.7210  -999.2500   -20.7191   121.9316
   55.5000    12.5328    29.1604    -0.0036     2.3325     0.1482   119.3901   -41.8675  -999.2500    26.1606     8.9717     9.4507  -999.2500   -21.6678   121.8440
   56.0000    12.5201    27.9571     0.0087     2.3386     0.1839   118.4922   -23.4940  -999.2500    27.2853     8.8481     9.1252  -999.2500   -22.6164   121.1601
   56.5000    12.5224    26.7898     0.0315     2.3492     0.2908   116.9911   -15.6627  -999.2500    28.4100     8.7261     8.9339  -999.2500   -23.5651   119.6528
   57.0000    12.5092    33.1188     0.0512     2.3538     0.2858   113.9834   -19.5783  -999.2500    29.5347     8.7869     8.8074  -999.2500   -24.5138   116.8731
   57.5000    12.4971    46.9440     0.0664     2.3524     0.2798   113.0837   -29.6687  -999.2500    30.6595     8.8481     8.7430  -999.2500   -25.4624   114.5425
   58.0000    12.4994    45.4849     0.0757     2.3657     0.2868   113.9976   -40.0602  -999.2500    31.7842     8.7261     8.8005  -999.2500   -18.9088   114.3851
   58.5000    12.5017    36.8213     0.0759     2.3835     0.3068   114.9097   -46.7068  -999.2500    32.4548     8.6058     8.8582  -999.2500   -19.8860   115.4202
   59.0000    12.5040    28.1578     0.0696     2.3873     0.2972   114.3136   -52.4096  -999.2500    32.7169     8.4871     8.8538  -999.2500   -13.3608   114.6614
   59.5000    12.5063    19.4942     0.0253     2.3829     0.2863   113.1158   -55.7229  -999.2500    32.9319     8.3123     8.8503  -999.2500   -14.3498   112.4056
   60.0000    12.5086    10.8307     0.0060     2.3770     0.2809   111.9163   -59.3373  -999.2500    33.1469     8.1410     8.8459  -999.2500    -7.7843   109.1768
   60.5000    12.4959    17.1664     0.0108     2.3741     0.2785   112.5268   -62.6506  -999.2500    33.3618     8.1410     8.7814  -999.2500    -1.2591   109.4771
   61.0000    12.4984    15.9670     0.0155     2.3727     0.2769   115.5656   -64.4879  -999.2500    33.5843     8.1410     8.6571  -999.2500    -2.4450   112.3723
   61.5000    12.5011    14.5332     0.0112     2.3758     0.2754   120.0843   -65.9639  -999.2500    33.8455     8.1977     8.5346  -999.2500    -3.3936   115.5806
